Ticket Number,Date Opened,Product Category,Model Code,Ticket Status,Priority,Assigned Team,Time to Resolution (Hours),CSAT Score,Resolution Status,Contact Channel,Symptom Description,Engineer ID,SLA Violation
4123450053.0,2025-05-18,Tablets,SM-X910,Closed,LOW,Level1 Support,110.6,five,Pending,chat,hinge issue,ENG034,
4123450168.0,01-01-2025,Mobile Phones,SM-S911U,Repair completed,High,Level1 Support,91.2,1,Pending,Email,phone won't charge,ENG089,N
4123450589.0,Sep 02 2025,,SM-T870,Assigned to Service Center,Medium,Field Service,five,N/A,Resolved,In-person,bluetooth connectivity,N,
4123450656.0,2026/02/12,Tablets,SM-T860,Compleated,CRITICAL,L3,,N/A,Pending,chat,customer canceled,,N
4123450909.0,07-02-2025,Tablets,SM-T860,Engineer Assigned,High,L1,Pending,five,,Phone,remote not working,eng045,Yes
,05/09/2025,Home Appliances,DVE50R5400V,,CRITICAL,Field Service,8.5,2,,chat,fold screen issue,N,N
4123450006.0,2025/02/25,Mobile Phones,,Engineer Assigned,Meduim,Level2 Support,five,4,In Progress,In-person,phone won't charge,ENG034,YES
4123450985.0,2025-08-30,Wearables,SM-R870,Repair completed,Medium,Level1 Support,48hrs,five,Closed,Email,washing machine making noise,ENG045,
4123450404.0,Oct 03 2025,Home Appliances,RF28R7351SR,Assigned to Service Center,LOW,,107.4,3,In Progress,Email,no power,N,N
4123450072.0,15/01/2026,Tablets,SM-T870,Engineer Assigned,CRITICAL,Field Service,N/A,2,,Email,customer canceled,,No
,Jan 07 2026,Home Appliances,DVE50R5400V,Engineer Assigned,High,L2,,3,Resolved,Phone,tablet won't turn on,,Yes
4123450787.0,09/01/2025,TV/AV,QN55Q80C,Canceled,High,L3,20.5,five,,In-person,dishwasher leaking,N,No
4123450275.0,2026/01/01,Tablets,,Repair completed,Low,Level3 Support,181.0,,Cancelled,chat,no power,ENG012,No
4123450382.0,18-03-2026,TV/AV,QN55Q70D,,Medium,L3,61.1,five,Cancelled,Phone,charging port loose,,
,01/03/2026,Wearables,SM-R870,Engineer Assigned,,L2,32.3,5,Cancelled,Phone,no power,N,
4123450125.0,2025/08/27,TV/AV,QN75QN900C,Compleated,CRITICAL,L2,251.5,3,In Progress,In-person,bluetooth connectivity,ENG089,YES
4123450993.0,,Mobile Phones,SM-G998B,Repair completed,,Field Service,,1,Fixed,Email,,ENG034,Yes
4123450629.0,2026-03-19,,SM-T860,Delivery in Progress,LOW,,N/A,five,In Progress,Phone,fold screen issue,ENG089,Yes
4123450444.0,03-07-2025,Mobile Phones,SM-S911U,In Progress,CRITICAL,,55.5,five,,In-person,screen protector bubbling,ENG078,YES
4123450559.0,2025-02-17,Tablets,SM-T860,Acknowledged(ASC),Hgh,,241.2,1,Cancelled,In-person,screen protector bubbling,ENG012,
4123450603.0,,Wearables,SM-R870,,CRITICAL,Level3 Support,54.3,five,Pending,Phone,camera blurry,ENG045,No
4123450443.0,Dec 02 2025,Wearables,SM-R920,In Progress,Low,,Pending,,,chat,tablet won't turn on,,No
4123450788.0,05/07/2025,Tablets,SM-T500,Repair completed,Low,Hardware Team,114.2,1,,Phone,remote not working,,N
4123450771.0,2026-01-04,,WF45T6000AW,Request,LOW,,163.3,5,Closed,Email,camera blurry,ENG045,No
4123450544.0,2026-03-01,Wearables,SM-R510,Engineer Assigned,Meduim,Level2 Support,233.1,4,Pending,In-person,phone overheating,ENG045,Yes
4123450832.0,2026-02-11,TV/AV,QA65QN900A,Closed,Low,L1,,1,Resolved,In-person,washing machine making noise,ENG023,No
4123450393.0,14/08/2025,Home Appliances,RF28R6201SR,Repair completed,Medium,Level3 Support,22.3,3,Closed,Email,battery drain,ENG045,
4123450093.0,26/02/2025,TV/AV,QN75QN900C,Pending,Hgh,Level1 Support,five,N/A,Closed,Email,,,
4123450324.0,Jun 29 2025,Mobile Phones,SM-N986U,Engineer Assigned,Hgh,Level1 Support,192.2,2,Cancelled,Phone,TV apps crashing,,
4123450437.0,2025-11-22,Home Appliances,,,CRITICAL,Field Service,five,2,Closed,Phone,cracked screen,ENG078,YES
4123450218.0,21/02/2025,Wearables,SM-R920,Assigned to Service Center,High,Level2 Support,Pending,2,Resolved,chat,,,No
4123450713.0,2025-10-01,TV/AV,QN85QN900B,Compleated,LOW,L2,129.0,,,,camera blurry,ENG034,Yes
4123450871.0,09-03-2025,,SM-F946U,Canceled,Low,Level1 Support,241.3,,,In-person,cracked screen,N,YES
4123450099.0,2026-03-24,Mobile Phones,SM-N986U,Delivery in Progress,CRITICAL,L2,five,N/A,Fixed,chat,phone won't charge,ENG023,
4123450325.0,,Tablets,SM-T500,,High,Hardware Team,,,Fixed,Email,washing machine making noise,eng045,
4123451023.0,08-04-2025,Wearables,SM-R510,,Meduim,L3,,1,Fixed,chat,phone won't charge,ENG078,No
4123450195.0,2026/03/14,Mobile Phones,SM-F721U,In Progress,LOW,Hardware Team,five,4,Pending,In-person,charging port loose,ENG012,No
4123450081.0,21/04/2025,Home Appliances,RF28R7351SR,Compleated,,L2,106.3,3,,Email,hinge issue,,
4123450131.0,,Wearables,SM-R510,Pending,Hgh,Level2 Support,five,4,Closed,In-person,watch band broken,ENG089,
4123450820.0,,TV/AV,QN75QN900C,Pending,High,L3,11.0,five,Resolved,Phone,refrigerator not cooling,N,Yes
4123450558.0,,Tablets,SM-T860,Canceled,Meduim,,48hrs,3,Cancelled,Email,refrigerator not cooling,ENG012,No
4123450748.0,22/09/2025,TV/AV,QA65QN900A,Pending,Low,Level3 Support,204.1,five,Fixed,Email,dishwasher leaking,,No
4123450523.0,Mar 21 2025,TV/AV,QN55Q70D,Acknowledged(ASC),Meduim,Field Service,63.6,4,Resolved,,,ENG012,YES
4123450497.0,2025-08-26,Mobile Phones,SM-G998B,Engineer Assigned,Medium,L3,five,5,,chat,refrigerator not cooling,,Yes
4123450173.0,01-12-2025,Home Appliances,RF28R7351SR,Request,CRITICAL,Level1 Support,,N/A,Fixed,chat,washing machine making noise,ENG034,Yes
4123450859.0,2025-01-25,Wearables,SM-R920,Acknowledged(ASC),High,Field Service,152.2,4,Pending,,watch band broken,ENG078,YES
,01-08-2025,Mobile Phones,SM-F946U,Closed,Medium,Hardware Team,26.3,1,Pending,Phone,washing machine making noise,N,N
